"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","9a8d050d-e67e-4834-8c10-33462746b838","emczcwlvbdrkaoyhpxzy","1737099090151000"
"LOG","connection received: host=::1 port=19121","b8813166-0c7c-4317-a17e-15fd246a79d4","emczcwlvbdrkaoyhpxzy","1737099090150000"
"LOG","checkpoint complete: wrote 81 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.040 s, sync=0.005 s, total=8.078 s; sync files=67, longest=0.003 s, average=0.001 s; distance=307 kB, estimate=1895 kB","dc75dec0-6d25-4fdc-99a3-01d002836542","emczcwlvbdrkaoyhpxzy","1737099078206000"
"LOG","checkpoint starting: time","8bf5de1a-cd4b-45ca-9045-903cada818df","emczcwlvbdrkaoyhpxzy","1737099070129000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","6fc2309b-ab15-48d0-aa9c-14e0cc08d85f","emczcwlvbdrkaoyhpxzy","1737099052743000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","b25a4e3a-ccdb-4584-bb83-0bc940dc5f78","emczcwlvbdrkaoyhpxzy","1737099052743000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","2ec06513-725c-44eb-b66f-be381764ae8a","emczcwlvbdrkaoyhpxzy","1737099052544000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","354987a9-e480-45c4-874c-033f86db4207","emczcwlvbdrkaoyhpxzy","1737099052544000"
"LOG","connection received: host=2406:da18:96a:8200:4b34:250d:8549:5e07 port=51724","e8b3c980-67b5-47c2-acff-504703c61cf7","emczcwlvbdrkaoyhpxzy","1737099052527000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","96287225-86d3-41e1-b9d7-919cf9a8e110","emczcwlvbdrkaoyhpxzy","1737099030152000"
"LOG","connection received: host=::1 port=40355","f8d61bf4-2c88-4326-a740-50fd1bda3d45","emczcwlvbdrkaoyhpxzy","1737099030151000"
